NIT;SUBSECTOR;VENTAS;GASTOFINANCIERO
890913902;AUTOMOTORES;129078330000;1223133000
890920782;AUTOMOTORES;41914451000;408566000
890923417;AUTOMOTORES;22936322000;752755000
890924125;AUTOMOTORES;2087339000;127484000
890924684;AUTOMOTORES;50757283000;66193000
890925058;AUTOMOTORES;100209563000;579554000
890942310;AUTOMOTORES;127179000000;755000000
891102600;AUTOMOTORES;37788404000;280808000
891409006;AUTOMOTORES;38141271000;989032000
891902805;AUTOMOTORES;44141195000;308345000
891904029;AUTOMOTORES;33120478000;622818000
900006406;AUTOMOTORES;77649290000;199071000
900009847;AUTOMOTORES;104534878000;1985194000
900056114;AUTOMOTORES;67340388000;629117000
900057329;AUTOMOTORES;82175971240;47242050
900103237;AUTOMOTORES;90089054000;846326000
900108579;AUTOMOTORES;129805118000;6692494000
900171022;AUTOMOTORES;26781020000;320259000
900174045;AUTOMOTORES;20432384000;286000000
900188208;AUTOMOTORES;32942806000;85544000
900192630;AUTOMOTORES;35527798000;2894659000
900214971;AUTOMOTORES;15706619000;569933000
900216859;AUTOMOTORES;263662563000;5262172000
900225704;AUTOMOTORES;18841765000;319546000
900241676;AUTOMOTORES;252492349000;1692173000
900252527;AUTOMOTORES;7925224000;20665000
900283099;AUTOMOTORES;50069000000;1121000000
900329399;AUTOMOTORES;93738914000;237553000
900336249;AUTOMOTORES;33190000000;856000000
900342925;AUTOMOTORES;1645746000;17869000
900343209;AUTOMOTORES;16300112000;272168000
900345054;AUTOMOTORES;6893155000;78171000
900345954;AUTOMOTORES;18198984000;558344000
900369627;AUTOMOTORES;54325043000;807931000
900369986;AUTOMOTORES;5112099000;39388000
900380333;AUTOMOTORES;51850144000;12996000
900459351;AUTOMOTORES;1591186000;6455000
900462777;AUTOMOTORES;11479736000;249081000
900470946;AUTOMOTORES;44533385000;596647000
900486347;AUTOMOTORES;10749585000;717158000
900486495;AUTOMOTORES;28178416000;362699000
900540501;AUTOMOTORES;8499370000;30852000
900545795;AUTOMOTORES;27696130000;373103000
900569531;AUTOMOTORES;11379786000;442366000
900571482;AUTOMOTORES;12998031000;34735000
900576528;AUTOMOTORES;25024823000;124452000
900622968;AUTOMOTORES;64961478000;524682000
900703240;AUTOMOTORES;771957808000;4695696000
900703872;AUTOMOTORES;5059712000;273338000
900707055;AUTOMOTORES;38654277000;140530000
900737579;AUTOMOTORES;80733217000;1048664000
900749690;AUTOMOTORES;16526086000;237563000
900902082;AUTOMOTORES;665125000;96000
50311004822;AUTOMOTORES;5954878000;112511000
50313000181;AUTOMOTORES;32644580000;227180000
50313000941;AUTOMOTORES;94903816000;909306000
50313000942;AUTOMOTORES;65954307000;625040000
50313001048;AUTOMOTORES;4761191000;46894000
50314003130;AUTOMOTORES;53474924000;680906000
50314003610;AUTOMOTORES;9206247000;109290000
50314006245;AUTOMOTORES;15784318000;12954000
800000276;AVICULTURA;290442025000;6045188000
800085445;AVICULTURA;65586552000;1918386000
800134497;AVICULTURA;55533530000;109588000
800197463;AVICULTURA;535267486000;14769778000
801004045;AVICULTURA;132936682000;2462503000
801004377;AVICULTURA;20906396000;941405000
815000863;AVICULTURA;459152016000;705744000
860032450;AVICULTURA;188555593000;958709000
860058831;AVICULTURA;155194419000;880000000
860065624;AVICULTURA;54251855000;330822000
860065656;AVICULTURA;74082960000;474956000
860076820;AVICULTURA;168150849000;1130075000
860403972;AVICULTURA;179987569000;847098000
860522164;AVICULTURA;83162623000;1393747000
860527701;AVICULTURA;44265413000;327063000
890103400;AVICULTURA;242280032000;6419016000
890200474;AVICULTURA;296782774000;7285155000
890201881;AVICULTURA;843396542000;817905000
890204199;AVICULTURA;42026138000;646777000
890205142;AVICULTURA;253781000000;2262000000
890209157;AVICULTURA;104209041000;1043199000
890316597;AVICULTURA;3902158000;998756000
890321213;AVICULTURA;60915526000;2256054000
890707006;AVICULTURA;37323532000;898290000
890900135;AVICULTURA;73258546000;425752000
890911625;AVICULTURA;93578470000;1908188000
891301549;AVICULTURA;126723036000;3781473000
891401858;AVICULTURA;494632233000;3142688000
900034593;AVICULTURA;13443938000;301476000
900211167;AVICULTURA;138768017000;3195429000
900294923;AVICULTURA;132199721000;7574976000
900687096;AVICULTURA;95365000000;630000000
817000676;AZÚCAR;2443881000;1321497000
821001749;AZÚCAR;30833131000;1365449000
890300440;AZÚCAR;58414775000;1390026000
890302567;AZÚCAR;48053398000;2714263000
890302594;AZÚCAR;538586650000;31591045000
